,source,event_id,division_id,athlete_id,place,incomplete,name
1636,Live Heats,263420,460768,1488152,7,False,
1637,Live Heats,263420,460768,1488153,8,False,
1638,Live Heats,263420,460768,1488154,9,False,
1639,Live Heats,263420,460768,1488155,9,False,
1640,Live Heats,263420,460768,1488156,9,False,
1641,Live Heats,263420,460768,1488157,9,False,
1642,Live Heats,263420,460768,1122396,13,False,
1643,Live Heats,263420,460768,1488158,13,False,
1644,Live Heats,263420,460768,1488159,13,False,
1645,Live Heats,263420,460768,1122406,13,False,
1646,Live Heats,263420,460768,1488160,17,False,
1647,Live Heats,263420,460768,1488161,17,False,
1648,Live Heats,263420,460768,1488162,17,False,
1649,Live Heats,263420,460768,1488163,17,False,
1650,Live Heats,263420,460768,1488164,17,False,
1651,Live Heats,263420,460768,1488165,17,False,
1652,Live Heats,263420,460768,1488166,17,False,
1653,Live Heats,263420,460768,1488167,17,False,
1654,Live Heats,263420,460768,1122415,25,False,
1655,Live Heats,263420,460768,1488168,25,False,
1656,Live Heats,263420,460768,1488169,25,False,
1657,Live Heats,263420,460768,1488170,25,False,
1658,Live Heats,263420,460768,1488171,29,False,
1659,Live Heats,263420,460768,1488172,29,False,
1660,Live Heats,263420,460768,1488173,29,False,
1661,Live Heats,263420,460768,1488174,29,False,
1662,Live Heats,263420,460771,1488142,1,False,
1663,Live Heats,263420,460771,1488143,2,False,
1664,Live Heats,263420,460771,1488144,3,False,
1665,Live Heats,263420,460771,1488145,4,False,
1666,Live Heats,263420,460771,1488147,5,False,
1667,Live Heats,263420,460771,1488148,6,False,
1668,Live Heats,263420,460771,1488149,7,False,
1669,Live Heats,263420,460771,1488150,8,False,
1670,Live Heats,72455,168211,1334796,1,False,
1671,Live Heats,72455,168211,843691,2,False,
1672,Live Heats,72455,168211,527155,3,False,
1673,Live Heats,72455,168211,1205611,4,False,
1674,Live Heats,72455,168211,845736,5,False,
1675,Live Heats,72455,168211,1165941,5,False,
1676,Live Heats,72455,168211,1076658,7,False,
1677,Live Heats,72455,168211,1169354,7,False,
1678,Live Heats,72455,168211,835109,9,False,
1679,Live Heats,72455,168211,1408086,9,False,
1680,Live Heats,72455,168211,1409162,9,False,
1681,Live Heats,72455,168211,843557,9,False,
1682,Live Heats,72455,168211,1171826,13,False,
1683,Live Heats,72455,168211,818279,13,False,
1684,Live Heats,72455,168211,844750,13,False,
1685,Live Heats,72455,168211,530552,13,False,
1686,Live Heats,72455,168211,1169635,17,False,
1687,Live Heats,72455,168211,822932,17,False,
1688,Live Heats,72455,168211,527167,17,False,
1689,Live Heats,72455,168211,819666,17,False,
1690,Live Heats,72455,168211,817982,17,False,
1691,Live Heats,72455,168211,1076659,17,False,
1692,Live Heats,72455,168211,817916,17,False,
1693,Live Heats,72455,168211,1578513,17,False,
1694,Live Heats,72455,168211,837486,25,False,
1695,Live Heats,72455,168211,530553,25,False,
1696,Live Heats,72455,168211,820094,25,False,
1697,Live Heats,72455,168211,1166233,25,False,
1698,Live Heats,72455,168211,1200379,25,False,
1699,Live Heats,72455,168211,818679,25,False,
1700,Live Heats,72455,168211,1200826,25,False,
1701,Live Heats,72455,168211,1169471,25,False,
1702,Live Heats,72455,168212,820127,1,False,
1703,Live Heats,72455,168212,820028,2,False,
1704,Live Heats,72455,168212,1203243,3,False,
1705,Live Heats,72455,168212,1076672,4,False,
1706,Live Heats,72455,168212,1589294,5,False,
1707,Live Heats,72455,168212,1210135,5,False,
1708,Live Heats,72455,168212,529366,7,False,
1709,Live Heats,72455,168212,820787,7,False,
1710,Live Heats,72455,168212,529331,9,False,
1711,Live Heats,72455,168212,815441,9,False,
1712,Live Heats,72455,168212,1198791,9,False,
1713,Live Heats,72455,168212,923338,9,False,
1714,Live Heats,72455,168212,1198918,13,False,
1715,Live Heats,72455,168212,815310,13,False,
1716,Live Heats,72455,168212,1076669,13,False,
1717,Live Heats,72455,168212,903847,13,False,
1718,Live Heats,72455,168213,597678,1,False,
1719,Live Heats,72455,168213,1076613,2,False,
1720,Live Heats,72455,168213,1076697,3,False,
1721,Live Heats,72455,168213,1076696,4,False,
1722,Live Heats,72455,168214,1076677,1,True,
1723,Live Heats,72455,168214,1199509,1,True,
1724,Live Heats,72455,168214,1205039,1,True,
1725,Live Heats,72455,168214,1076680,1,True,
1726,Live Heats,72455,168214,1087575,1,True,
1727,Live Heats,72455,168214,791455,1,True,
1728,Live Heats,72455,168214,1164252,1,True,
1729,Live Heats,72455,168214,1076676,1,True,
1730,Live Heats,72455,168214,1076683,1,True,
